ranking,query,sort_by_filter,video_id,video_url
9,fentanyl drug,relevance,2awPPVKmpRQ,https://www.youtube.com/watch?v=2awPPVKmpRQ
10,fentanyl drug,relevance,Je3YADbep9w,https://www.youtube.com/watch?v=Je3YADbep9w
1,fentanyl drug,viewCount,Jd76HxqCPf0,https://www.youtube.com/watch?v=Jd76HxqCPf0
2,fentanyl drug,viewCount,28rJqj-7pEY,https://www.youtube.com/watch?v=28rJqj-7pEY
3,fentanyl drug,viewCount,BG70kTLfS7w,https://www.youtube.com/watch?v=BG70kTLfS7w
4,fentanyl drug,viewCount,4gA61UowVHk,https://www.youtube.com/watch?v=4gA61UowVHk
5,fentanyl drug,viewCount,WCqNLCzN-Fk,https://www.youtube.com/watch?v=WCqNLCzN-Fk
6,fentanyl drug,viewCount,LxyyvW_fcqw,https://www.youtube.com/watch?v=LxyyvW_fcqw
7,fentanyl drug,viewCount,GWBzxr3c29s,https://www.youtube.com/watch?v=GWBzxr3c29s
8,fentanyl drug,viewCount,qiGTGUoD0lA,https://www.youtube.com/watch?v=qiGTGUoD0lA
9,fentanyl drug,viewCount,3QrZLNyYHVw,https://www.youtube.com/watch?v=3QrZLNyYHVw
10,fentanyl drug,viewCount,dcb9G775KaY,https://www.youtube.com/watch?v=dcb9G775KaY
1,fentanyl drug,date,ufROgG1N6ZI,https://www.youtube.com/watch?v=ufROgG1N6ZI
2,fentanyl drug,date,67U1TXgQmIA,https://www.youtube.com/watch?v=67U1TXgQmIA
3,fentanyl drug,date,VGHAk9aOz0E,https://www.youtube.com/watch?v=VGHAk9aOz0E
4,fentanyl drug,date,BKUVnkfDSq0,https://www.youtube.com/watch?v=BKUVnkfDSq0
5,fentanyl drug,date,VdLvh5cxsvA,https://www.youtube.com/watch?v=VdLvh5cxsvA
6,fentanyl drug,date,9k5VAYCOLOA,https://www.youtube.com/watch?v=9k5VAYCOLOA
7,fentanyl drug,date,OaCUD3IliR8,https://www.youtube.com/watch?v=OaCUD3IliR8
8,fentanyl drug,date,8bCyXhnrRdU,https://www.youtube.com/watch?v=8bCyXhnrRdU
9,fentanyl drug,date,mHkNPvqPjBw,https://www.youtube.com/watch?v=mHkNPvqPjBw
10,fentanyl drug,date,Zp2tqrlv6r8,https://www.youtube.com/watch?v=Zp2tqrlv6r8
1,fentanyl drug,rating,91zSp2lqYa8,https://www.youtube.com/watch?v=91zSp2lqYa8
2,fentanyl drug,rating,1cZOSxoNx8A,https://www.youtube.com/watch?v=1cZOSxoNx8A
3,fentanyl drug,rating,FYzFt9s0H2o,https://www.youtube.com/watch?v=FYzFt9s0H2o
4,fentanyl drug,rating,vQOxwgcUkhc,https://www.youtube.com/watch?v=vQOxwgcUkhc
5,fentanyl drug,rating,5jnrz05HLoI,https://www.youtube.com/watch?v=5jnrz05HLoI
6,fentanyl drug,rating,TK_hNn3eJWE,https://www.youtube.com/watch?v=TK_hNn3eJWE
7,fentanyl drug,rating,qTetDSgd4NY,https://www.youtube.com/watch?v=qTetDSgd4NY
8,fentanyl drug,rating,cAG24kmNVxA,https://www.youtube.com/watch?v=cAG24kmNVxA
9,fentanyl drug,rating,D3DWhWfHsdA,https://www.youtube.com/watch?v=D3DWhWfHsdA
10,fentanyl drug,rating,FeBX6-9nXvk,https://www.youtube.com/watch?v=FeBX6-9nXvk
1,what is fentanyl,relevance,wpYcOznq0d8,https://www.youtube.com/watch?v=wpYcOznq0d8
2,what is fentanyl,relevance,OkG_t6m1Kb8,https://www.youtube.com/watch?v=OkG_t6m1Kb8
3,what is fentanyl,relevance,5vMmHGqfUeU,https://www.youtube.com/watch?v=5vMmHGqfUeU
4,what is fentanyl,relevance,jj6C_f0TFoE,https://www.youtube.com/watch?v=jj6C_f0TFoE
5,what is fentanyl,relevance,lmxF2owm3Gg,https://www.youtube.com/watch?v=lmxF2owm3Gg
